Length,Diameter,Height,Age,Shucked_Weight_Ratio
1.6375,1.2875,0.3625,15,0.4212
1.6125,1.25,0.5,11,0.447322366
1.3125,1.0375,0.4,12,0.403413499
1.6875,1.3,0.3625,11,0.408208135
1.275,1.1375,0.3375,9,0.419401896
1.4625,1.1375,0.375,11,0.441236069
0.925,0.7,0.25,8,0.422619048
0.7,0.5125,0.25,5,0.467811159
1.325,1.05,0.425,6,0.495169082
0.875,0.6375,0.2125,13,0.466200466
1.525,1.1875,0.3875,10,0.474315068
1.125,0.8375,0.3125,6,0.483798883
1.4625,1.175,0.425,10,0.375126904
1.35,1.075,0.35,9,0.480170836
1.35,1.0875,0.4375,13,0.360986547
1.325,1,0.3625,9,0.348648649
1.9375,1.425,0.55,17,0.361712598
1.3125,1,0.2875,11,0.405877681
1.55,1.25,0.4375,13,0.416230366
1.575,1.2875,0.4,19,0.414862205
1.25,1,0.3125,9,0.451882845
1.85,1.45,0.5125,12,0.34250315
1.05,0.8125,0.25,11,0.455163043
1.4,1.05,0.45,9,0.465905677
1.3,0.95,0.35,11,0.338095238
1.575,1.2,0.4125,8,0.469673406
1.5,1.2375,0.4875,26,0.363120567
1.2,0.9375,0.3625,9,0.277992278
1.5,1.275,0.4625,9,0.474319066
1.6,1.25,0.375,9,0.465251769
1.0125,0.775,0.1625,6,0.491419657
1.425,1.1,0.3125,12,0.424855491
1.325,1.0125,0.375,8,0.456130484
0.7375,0.5375,0.1875,8,0.318965517
1.375,1.0625,0.3875,10,0.472206304
1.7375,1.325,0.525,10,0.439735099
1.35,1.0625,0.35,9,0.431266846
1.375,1.075,0.3125,8,0.43716143
1.5625,1.2375,0.4,11,0.404408457
1.5375,1.15,0.475,13,0.406660413
1.475,1.1625,0.3375,8,0.427993936
1.3125,1,0.325,11,0.289933695
1.225,0.9625,0.3,9,0.458544839
1.0625,0.8,0.25,7,0.412438625
0.8875,0.7,0.275,7,0.364653244
1.175,0.9375,0.325,8,0.40917782
1.4875,1.1625,0.375,10,0.419897959
1.55,1.2,0.4,13,0.382721784
1.4875,1.15,0.4,9,0.43485342
0.9875,0.725,0.2375,6,0.417763158
1.575,1.225,0.475,11,0.41910828
1.4375,1.1125,0.3625,10,0.433219178
0.675,0.4875,0.2,6,0.385
1.25,0.9625,0.2625,17,0.360441767
1.475,1.125,0.4,14,0.307390817
1.65,1.3375,0.475,9,0.403961019
0.975,0.75,0.225,7,0.422619048
1.2125,1.0375,0.35,8,0.438212095
1.4875,1.225,0.4625,10,0.406751055
0.6875,0.5125,0.175,5,0.356382979
1.175,0.9,0.325,9,0.378947368
1.2625,0.9625,0.3125,9,0.411073826
1.725,1.325,0.425,9,0.511425813
1.0625,0.7875,0.2,7,0.432343234
1.3875,1.15,0.3625,11,0.426985008
1.5125,1.2,0.375,10,0.417516219
0.775,0.5875,0.225,6,0.377952756
1.125,0.8375,0.35,14,0.354594595
1.325,1.05,0.3875,10,0.583333333
0.825,0.6625,0.225,6,0.377777778
1.25,0.9625,0.3875,14,0.498031496
0.9625,0.6625,0.2,6,0.494023904
1.525,1.2,0.475,12,0.402547279
1.3625,1.05,0.3625,7,0.481362468
1.575,1.2125,0.4375,23,0.333461538
0.8375,0.625,0.2,6,0.401639344
1.425,1.0375,0.325,13,0.485795455
1.525,1.2,0.4125,8,0.448331323
1.35,1.1,0.4,15,0.358551123
1.575,1.1625,0.375,8,0.522882181
1.1125,0.825,0.275,8,0.425977654
1.55,1.125,0.5,8,0.499417249
1.7875,1.4125,0.45,9,0.47150838
1.075,0.8125,0.225,7,0.510588235
1.625,1.2125,0.4,10,0.328542685
1.3625,1.0875,0.3375,8,0.482177576
1.6,1.25,0.4375,13,0.397879026
1.6,1.2625,0.45,11,0.454895914
1.525,1.1875,0.425,14,0.427058257
1.6125,1.3,0.475,12,0.442579168
1.525,1.2125,0.425,9,0.466042155
1.1,0.85,0.25,10,0.416851441
1,0.75,0.2875,8,0.441322314
1.425,1.2375,0.4,14,0.414109024
1.6625,1.25,0.4375,9,0.468208092
1.7375,1.425,0.5,15,0.36940482
1.6125,1.2,0.375,9,0.507969799
1.475,1.2,0.4,9,0.450475436
1.7125,1.325,0.425,11,0.41474359
1.6625,1.25,0.375,10,0.370741483
1.2875,1.05,0.3375,9,0.447180302
1.65,1.2625,0.4625,11,0.451570681
1.1625,0.9375,0.275,8,0.42
1.25,0.9625,0.375,10,0.415802075
1.425,1.1125,0.3875,10,0.517699115
1.125,0.8375,0.2375,7,0.460770328
0.95,0.7,0.2375,7,0.571923744
1.575,1.2,0.4625,11,0.438016529
1.3875,1.1375,0.425,15,0.366330765
1.4375,1.1,0.4625,10,0.495121951
0.4625,0.3375,0.1,5,0.388888889
1.1875,0.9375,0.3,10,0.448490231
1.675,1.3,0.4875,11,0.419595904
1.1,0.875,0.3125,8,0.460526316
1.15,0.8875,0.275,8,0.452981651
1.6875,1.325,0.4375,10,0.468371932
1.5,1.175,0.475,10,0.433671221
1.75,1.4375,0.5,11,0.446587964
1.3375,1.05,0.3125,8,0.48102981
1.025,0.7875,0.2375,9,0.395424837
0.725,0.525,0.1625,6,0.386597938
1.3125,1.05,0.3875,9,0.508313539
1.4875,1.075,0.525,11,0.42833716
1.125,0.8375,0.275,7,0.431466031
0.9,0.6875,0.2125,9,0.37721519
1.4125,1.1375,0.375,8,0.453292496
1.125,0.8875,0.2625,8,0.443194601
1.25,0.9375,0.3625,9,0.412424504
1.7375,1.4125,0.475,11,0.423305926
1.425,1.1125,0.4,10,0.508624938
1.65,1.2625,0.5,18,0.298374732
1.6,1.4625,0.4875,12,0.438676381
1.0875,0.8125,0.25,7,0.475409836
1.45,1.175,0.4125,11,0.346817691
1.5125,1.2125,0.4,9,0.347210658
1.625,1.3625,0.575,16,0.319920091
1.575,1.25,0.4375,10,0.445630684
1.175,0.8875,0.45,8,0.345804989
1.55,1.1875,0.4,9,0.518308796
1.25,0.9625,0.275,8,0.505872483
0.775,0.5625,0.1875,6,0.419354839
1.5,1.15,0.3875,8,0.438623523
1.0375,0.8125,0.25,10,0.477449456
1.6375,1.475,0.5,11,0.423164025
1,0.75,0.275,6,0.460636516
1.225,0.925,0.275,8,0.503717472
1.1875,0.9625,0.3625,14,0.380566802
1.3875,1.0625,0.35,11,0.35786802
1.5875,1.25,0.375,10,0.472020349
1.0375,0.8375,0.25,7,0.472067039
1.45,1.1375,0.3875,18,0.376569038
1.225,0.9,0.275,17,0.321678322
1.4,1.1125,0.3875,10,0.454656863
1.5125,1.225,0.375,9,0.464081093
1.2375,1,0.3,15,0.394398183
1.45,1.175,0.375,11,0.48952591
1.45,1.25,0.4125,10,0.4
1.025,0.8125,0.25,6,0.527918782
1.025,0.7625,0.2375,6,0.380952381
1.2,0.9,0.3125,7,0.515682657
1.0875,0.8375,0.25,7,0.416024653
1.1,0.8875,0.4125,16,0.365517241
1.6,1.2625,0.4125,18,0.42570142
1.425,1.0875,0.325,10,0.463171865
1.75,1.45,0.5125,20,0.348122066
1.2375,0.95,0.3,10,0.415611814
1.8375,1.5,0.55,11,0.443639922
1.6875,1.3375,0.4,16,0.419858156
1.6,1.4125,0.575,15,0.423405654
1.45,1.1375,0.375,10,0.492588933
1.6375,1.275,0.3875,11,0.414501745
0.825,0.625,0.1875,5,0.398576512
1.1,0.8625,0.2875,6,0.493577982
1.575,1.2375,0.45,10,0.377862595
0.95,0.675,0.2375,6,0.381278539
1.1125,0.8625,0.35,15,0.431722689
0.675,0.475,0.2,6,0.327160494
1.65,1.2125,0.3875,8,0.49694501
1.8,1.4375,0.45,12,0.438192158
1.7375,1.375,0.5125,10,0.521398988
1.0375,0.8125,0.2625,12,0.419736842
1.5625,1.3,0.45,11,0.357828656
0.6875,0.5,0.1875,7,0.354651163
1.2625,0.9625,0.375,12,0.383476228
1.575,1.2625,0.4375,12,0.454545455
1.0375,0.8125,0.275,8,0.438291139
1.1875,1.05,0.4,8,0.493305144
0.7625,0.575,0.2,7,0.432692308
1.2875,0.9625,0.275,8,0.437337943
1.825,1.4375,0.525,11,0.448767521
1.125,0.875,0.3125,6,0.468062827
0.8625,0.6875,0.2375,6,0.378446115
0.7,0.5125,0.1375,7,0.396475771
1.325,1.05,0.3375,9,0.3788774
1.5375,1.175,0.3625,11,0.431210501
1.0875,0.825,0.275,6,0.497578692
1.5625,1.25,0.4625,10,0.48249497
1.15,0.875,0.275,9,0.42712294
1.6375,1.325,0.4375,15,0.384645825
1.2875,0.975,0.275,8,0.45480226
1.0875,0.8125,0.2625,8,0.405970149
1.65,1.3,0.475,10,0.484595635
1.1875,0.9125,0.2875,10,0.46492986
0.925,0.675,0.225,7,0.377358491
1.45,1.1375,0.325,8,0.481220657
1.3625,1.1125,0.375,9,0.441875
0.7875,0.575,0,6,0.429104478
1.475,1.15,0.3625,8,0.457344775
1.4875,1.2,0.35,9,0.448767123
0.8875,0.6625,0.225,8,0.297619048
1.1875,0.9125,0.2875,9,0.455102041
1.4875,1.15,0.3875,10,0.43663319
0.925,0.7,0.2125,5,0.406565657
1.425,1.125,0.3375,8,0.428571429
1.525,1.225,0.425,12,0.405013193
1.7375,1.45,0.5,13,0.355356673
1.725,1.2875,0.45,13,0.532122526
1.1875,0.9125,0.325,12,0.396462019
1.6375,1.3375,0.5125,13,0.444207966
1.525,1.2125,0.45,7,0.448221962
1.3875,1.125,0.4375,10,0.374713959
1.525,1.1875,0.4375,9,0.399414063
1.0625,0.8625,0.3125,13,0.376470588
1.075,0.8125,0.275,13,0.368707483
1.775,1.25,0.375,10,0.519179643
1.125,0.825,0.25,6,0.47323601
1.1875,0.9875,0.3375,13,0.416385135
1.4375,1.1375,0.4,9,0.500252653
0.825,0.6625,0.2125,6,0.395408163
0.6875,0.5125,0.2,6,0.375
1.45,1.1,0.3625,10,0.445920304
0.9625,0.725,0.225,8,0.422832981
1.5375,1.2,0.475,18,0.390073529
1.475,1.125,0.3,14,0.446893788
1,0.8125,0.3,8,0.420722135
1.175,0.8875,0.45,8,0.428125
1.7625,1.4,0.425,11,0.416466552
1.225,0.9625,0.3125,8,0.503284072
1.4,1.125,0.4,15,0.468546638
1.1125,0.8875,0.375,11,0.373195876
1.6,1.2625,0.475,12,0.378770074
1.2875,0.975,0.3125,8,0.417177914
1.5125,1.1875,0.35,9,0.496644295
1.1125,0.775,0.225,7,0.462797619
0.35,0.2625,0.0875,3,0.392857143
1.125,0.85,0.3125,8,0.422744129
1.4,1.05,0.375,8,0.50256996
1.2125,0.9375,0.35,8,0.383877159
1.6875,1.3125,0.425,12,0.433268859
0.9625,0.725,0.2375,6,0.458333333
1.6375,1.1375,0.425,8,0.457254902
1.4125,1.1625,0.375,9,0.491747778
0.825,0.6,0.1875,6,0.457055215
1.4875,1.1375,0.3625,11,0.456475584
1.425,1.1875,0.4875,18,0.450218553
1.1875,0.9375,0.2875,7,0.447646494
1.325,1.05,0.35,8,0.463317384
1.325,1.075,0.375,9,0.438596491
0.9375,0.75,0.1875,7,0.409722222
1.1375,0.9375,0.3125,10,0.433406114
1.2125,0.925,0.2875,7,0.4169279
1.325,1.1375,0.4125,11,0.321774605
1.425,1.1625,0.3875,9,0.460505937
1.5125,1.1625,0.4125,13,0.399147727
1.4375,1.15,0.375,9,0.359223301
1.325,1.05,0.325,17,0.33966034
1.4875,1.15,0.425,10,0.504648074
1.3625,0.9625,0.375,9,0.485024586
0.9,0.75,0.2125,7,0.438888889
1.45,1.15,0.375,10,0.496186845
1.3,1.025,0.3875,12,0.400275103
1.25,0.95,0.3125,8,0.478805395
0.85,0.65,0.2125,6,0.432360743
0.95,0.725,0.3,9,0.415194346
1.2,0.875,0.3375,8,0.500457457
1.25,0.975,0.3125,8,0.504288165
0.975,0.775,0.2625,8,0.444652908
1.4125,1.0375,0.3125,7,0.452773613
1.6875,1.4125,0.4875,12,0.416054422
0.7375,0.55,0.1625,6,0.401544402
0.75,0.575,0.2125,6,0.427350427
1.6125,1.2625,0.4125,10,0.331675593
1.375,1.0875,0.35,10,0.368980613
1.2125,0.9625,0.3125,12,0.418848168
1.5125,1.1375,0.3625,9,0.387470998
1.125,0.9,0.3125,12,0.424444444
1.25,1,0.4125,13,0.307878788
1.5625,1.25,0.4375,9,0.443047918
1.575,1.325,0.4375,13,0.471878316
0.9625,0.6875,0.2875,8,0.363128492
1.7375,1.3125,0.5125,13,0.450371185
1.475,1.15,0.3125,9,0.442384106
1.5625,1.225,0.4375,8,0.40496614
1.65,1.3125,0.5,11,0.446001367
0.825,0.65,0.2,9,0.3125
1,0.75,0.3125,9,0.458033573
1.7375,1.325,0.375,14,0.431618145
1.4,1.125,0.3625,11,0.454302512
1.3375,1,0.325,7,0.431506849
1.125,0.875,0.325,8,0.37826087
1.3875,1.1,0.375,15,0.380952381
1.55,1.2125,0.4125,13,0.414236707
0.7125,0.5375,0.15,6,0.331550802
1.5625,1.225,0.3875,11,0.384774514
1.5,1.1875,0.3875,9,0.44093105
1.175,0.925,0.35,10,0.420260782
1.4375,1.1125,0.425,9,0.536919315
1.25,0.9625,0.3,14,0.363851618
1.3,0.9875,0.2875,11,0.489526765
0.7875,0.6,0.175,8,0.397810219
1.75,1.35,0.5375,24,0.337462083
1.2625,0.975,0.3125,7,0.451790634
1.025,0.75,0.225,8,0.503571429
1.625,1.2375,0.4,10,0.455486542
0.6125,0.4375,0.1375,5,0.50955414
1.3625,1.075,0.3875,7,0.509023024
1.3125,1.0125,0.375,14,0.386792453
1.3875,1.1,0.375,8,0.495823389
0.925,0.6875,0.2,6,0.4
0.6875,0.4875,0.175,4,0.394285714
1.45,1.125,0.35,14,0.375123396
1.525,1.225,0.4,10,0.418165468
0.925,0.7125,0.2625,9,0.416666667
1.2625,0.975,0.2875,8,0.461363636
1.0125,0.7625,0.2625,10,0.431724138
1.725,1.35,0.4625,8,0.451754386
1.375,1.05,0.4,10,0.471838866
1.3125,1.0875,0.3875,8,0.456338028
1.375,1.125,0.3875,12,0.434452185
1.2125,0.9125,0.3125,8,0.382629108
1.5625,1.1875,0.4,10,0.461502997
1.5875,1.2875,0.425,16,0.399215686
1.6125,1.3125,0.4,11,0.494527363
1.2625,0.9625,0.2625,9,0.432579186
1.225,1,0.3625,13,0.316503391
1.5125,1.175,0.3875,9,0.40349076
1.4,1.125,0.4625,19,0.355607477
1.875,1.375,0.4875,11,0.452933151
0.9875,0.8125,0.2625,8,0.362745098
1.05,0.7875,0.25,6,0.45705968
1.45,1.15,0.4,9,0.482596425
0.5875,0.425,0.1625,6,0.368
1.7375,1.375,0.55,13,0.36480825
1.5875,1.2625,0.4625,17,0.384349827
1.475,1.175,0.3625,8,0.465092402
1.575,1.325,0.45,9,0.483001172
0.95,0.7125,0.2375,7,0.368312757
1.5625,1.2375,0.3875,11,0.464473057
1.275,1,0.325,13,0.381865737
1.0875,0.8125,0.275,7,0.410611303
1.45,1.1125,0.375,11,0.432036097
1.3125,0.95,0.3375,8,0.424390244
1.125,0.85,0.325,9,0.432032301
1.3625,1.1,0.4375,11,0.385409942
1.2,1,0.3125,15,0.27997365
1.475,1.175,0.375,8,0.483174284
0.9,0.675,0.225,8,0.517241379
1.65,1.2375,0.4875,10,0.364976959
1.375,1.15,0.325,12,0.430486944
1.1,0.85,0.3125,13,0.354443309
1.3625,1.0875,0.375,10,0.423778264
1.4,1.0875,0.325,9,0.455598456
1.025,0.7625,0.25,7,0.378071834
1.7,1.375,0.4375,19,0.453281424
1.5625,1.225,0.4125,9,0.42324756
1.375,1.05,0.2875,11,0.437874251
1.45,1.125,0.35,10,0.420509709
1.125,0.9125,0.3125,8,0.462121212
0.9,0.675,0.225,6,0.472289157
1.175,0.9125,0.2625,9,0.387633769
1.1875,0.9625,0.3,8,0.514234875
1.5875,1.2375,0.425,10,0.47973713
1.575,1.2125,0.3875,8,0.498435055
1.3125,1,0.35,7,0.466360856
1.3125,0.95,0.3125,7,0.466153846
1.325,1.025,0.35,6,0.454478708
0.75,0.55,0.1625,5,0.435146444
1.375,1.125,0.425,11,0.391358025
1.05,0.7625,0.225,6,0.512195122
1.475,1.1375,0.3875,10,0.438170525
1.6625,1.2875,0.45,10,0.42800576
1.0625,0.775,0.2375,7,0.45203252
1.1125,0.925,0.3125,9,0.484466019
0.6,0.4375,0.1375,5,0.354609929
1.45,1.0875,0.375,8,0.513189448
0.8125,0.625,0.1375,5,0.457831325
1.475,1.225,0.4125,10,0.463131732
1.4625,1.1375,0.35,9,0.47628866
1,0.7875,0.225,8,0.465331279
1.125,0.875,0.3375,13,0.4125
1.65,1.2375,0.525,10,0.467700258
1.7875,1.3125,0.5,10,0.502645503
1.4,1.1375,0.4,9,0.467942089
0.9,0.6625,0.225,7,0.467153285
1.0625,0.7625,0.275,9,0.48189415
1.325,1.075,0.35,8,0.440177253
1.4625,1.1625,0.35,13,0.419603524
0.875,0.7,0.1875,8,0.418367347
1.375,1.0625,0.4,9,0.432534678
1.85,1.425,0.45,10,0.486782377
1.625,1.3125,0.4375,11,0.458715596
1.6375,1.3625,0.4125,12,0.404006163
1.125,0.8625,0.2875,12,0.384072581
1.1375,0.875,0.3375,7,0.532152842
0.7375,0.5625,0.2,9,0.391129032
1.2125,0.9875,0.4,14,0.375
1.55,1.2125,0.4375,11,0.417781275
1.45,1.125,0.3875,9,0.413978495
1.2,0.9375,0.3,11,0.430025444
1.425,1.05,0.4,8,0.486197183
1.675,1.3,0.4375,10,0.425279566
1.5875,1.2375,0.4875,11,0.428681573
1.65,1.3125,0.45,15,0.35577207
1.3125,1,0.35,10,0.345794393
1.8875,1.45,0.5125,10,0.413406429
1.3,1,0.325,10,0.4
1.7875,1.4625,0.575,10,0.41761158
1.2875,1.05,0.375,10,0.379925651
0.8875,0.7,0.25,11,0.410989011
1,0.7625,0.2125,10,0.363636364
1.2125,0.925,0.35,10,0.356331878
1.575,1.2875,0.425,11,0.458844765
1.4875,1.1625,0.375,11,0.401755241
1.4,1.1375,0.4125,11,0.466860465
1.625,1.25,0.475,9,0.43818306
1.1,0.8625,0.2625,11,0.385064177
1.1625,0.9,0.2875,7,0.509059534
1.375,1.1,0.375,19,0.351593069
1.4125,1.175,0.4875,17,0.338879159
1.5,1.175,0.4125,9,0.47592068
1.4,1.0875,0.3375,11,0.456944444
1.425,1.1125,0.375,8,0.510379747
1.1875,0.9125,0.25,7,1.539923954
1.4125,1.125,0.35,12,0.376429637
1.3625,1.125,0.375,11,0.34406953
1.375,1.1,0.3875,16,0.330866808
1.1,0.8625,0.25,13,0.333333333
1.2625,0.95,0.325,13,0.346036585
2,1.575,0.4875,23,0.36935867
1.2375,0.9625,0.3375,11,0.453584906
1.3125,1.0125,0.3375,10,0.43630363
1.8,1.45,0.4875,10,0.488112221
1.4875,1.0875,0.4,9,0.402554399
1.4125,1.075,0.375,10,0.510830325
1.5875,1.1875,0.375,10,0.449978894
1.4625,1.0875,0.4375,10,0.41293279
1.425,1.125,0.4375,18,0.397697541
1.5875,1.2375,0.4875,11,0.379692833
1.4875,1.1875,0.4125,9,0.511953833
1.325,1,0.4125,12,0.369818653
1.2125,0.925,0.25,7,0.426900585
1.3125,1.025,0.4375,18,0.410183066
1.325,1.0875,0.3875,10,0.412017167
1.8,1.4,0.4375,17,0.368954532
1.575,1.2125,0.475,21,0.372738239
1.55,1.1875,0.4375,10,0.42843089
1.55,1.275,0.375,13,0.399038462
1.175,0.8625,0.3,8,0.413839891
1.575,1.2625,0.425,9,0.422812643
1.25,0.9375,0.35,15,0.400662252
1.5,1.1625,0.3875,10,0.503689129
1.2125,0.9625,0.2625,7,0.532374101
1.5375,1.175,0.3875,8,0.42375
1.175,0.925,0.3,9,0.505608283
1.175,0.9375,0.325,13,0.370146678
1.1625,0.875,0.3,11,0.387127762
1.2875,0.9375,0.275,6,0.495465787
1.525,1.2,0.4125,12,0.510048232
1.0125,0.7625,0.3,7,0.387755102
0.95,0.725,0.25,6,0.455696203
1.3125,1.0125,0.4,13,0.398989899
1,0.775,0.2875,10,0.425685426
1.1125,0.875,0.2875,8,0.432918396
1.55,1.2125,0.45,13,0.396690709
1.45,1.15,0.45,8,0.389443652
1.95,1.5,0.525,11,0.468799058
1.525,1.2125,0.3625,9,0.588500564
0.575,0.45,0.125,5,0.3359375
0.9125,0.6625,0.3375,7,0.474040632
1.4625,1.1625,0.4125,10,0.45480226
1.25,1.025,0.35,9,0.390778534
1.325,1.0875,0.425,13,0.366033109
1.2875,0.975,0.325,9,0.343179844
1.6,1.2125,0.375,10,0.473132969
1.1375,0.875,0.3125,16,0.353400223
1.625,1.3625,0.4,15,0.39195171
0.875,0.6625,0.275,9,0.315789474
1.15,0.8875,0.275,7,0.473560517
1.075,0.8125,0.3,8,0.370786517
1.5875,1.2625,0.4125,11,0.461231015
1.25,0.925,0.2875,7,0.532637076
1.2,0.8875,0.275,8,0.447163515
1.725,1.3625,0.5125,13,0.406363166
0.95,0.6875,0.2375,6,0.437113402
1.375,1.0375,0.3375,8,0.524248005
1.5125,1.1875,0.4125,9,0.410037879
1.0875,0.8625,0.3,7,0.493854749
1.6125,1.225,0.4,8,0.438374126
1.575,1.225,0.3875,11,0.435313263
1.55,1.275,0.5125,14,0.354359926
1.2125,0.925,0.3875,9,0.43285124
1.0875,0.8875,0.3125,9,0.376687117
1.4375,1.0875,0.3375,10,0.435483871
1.1875,0.975,0.3,10,0.402450518
1.5625,1.2,0.4,9,0.507665353
1.5125,1.225,0.375,10,0.379462318
1.5625,1.2125,0.4375,9,0.533648599
0.9875,0.775,0.2125,7,0.482649842
1.45,1.1875,0.4125,13,0.398651902
1.45,1.0875,0.3875,10,0.483779169
1.325,1.025,0.3875,11,0.392033543
1.15,0.875,0.275,7,0.454545455
1.6125,1.25,0.45,13,0.418068048
1.8,1.375,0.5,10,0.452541948
1.3375,1.0375,0.4625,15,0.373143197
1.55,1.25,0.375,10,0.460943542
1.475,1.1,0.375,8,0.443553009
0.45,0.3375,0.2,5,0.439393939
1.625,1.3125,0.4625,11,0.446908602
1.5125,1.175,0.4125,9,0.518895966
1,0.75,0.275,9,0.346031746
1.5875,1.25,0.4375,12,0.46310088
1.3125,1.025,0.325,15,0.39040404
0.925,0.725,0.225,7,0.36400818
0.7875,0.525,0.15,5,0.48
0.8625,0.675,0.2375,9,0.337563452
1.7,1.375,0.525,17,0.342505016
1.375,1.1,0.3375,8,0.514522822
0.8,0.6,0.2125,7,0.385294118
1.475,1.1625,0.4125,10,0.4632287
0.6375,0.475,0.125,6,0.355421687
0.9125,0.7125,0.2125,9,0.387755102
1.625,1.3,0.375,10,0.443861066
1.2625,0.9125,0.2875,8,0.479846449
0.875,0.6625,0.2375,5,0.366834171
1.675,1.25,0.475,10,0.405529954
0.4875,0.375,0.1125,3,0.48
1.1375,0.8625,0.275,8,0.476958525
0.8375,0.625,0.225,7,0.417127072
1.3625,1.0375,0.5,10,0.417525773
1.5625,1.2,0.425,10,0.495020288
1.5125,1.25,0.4625,9,0.419311578
1.4875,1.125,0.3625,10,0.482794578
1.1625,0.875,0.3375,8,0.413407821
1.3,0.975,0.325,7,0.424706943
1.025,0.775,0.275,9,0.393650794
1.125,0.85,0.2375,8,0.426810478
1.875,1.4875,0.5125,12,0.487727989
1.1375,0.9,0.2875,10,0.456236324
1.5,1.1875,0.425,10,0.448961555
1.625,1.275,0.3875,13,0.406223717
1.125,0.8375,0.2625,7,0.435082873
1.275,1,0.325,12,0.41958042
1.1875,0.8875,0.25,8,0.50347567
0.95,0.725,0.2625,10,0.385214008
0.6875,0.55,0.2,6,0.413919414
1.4125,1.0875,0.3875,14,0.347186701
1.475,1.2125,0.5125,13,0.367438084
1.05,0.75,0.2625,7,0.397151899
0.8375,0.6625,0.2625,7,0.421171171
1.7,1.2875,0.4,11,0.500607533
0.6875,0.4875,0.175,5,0.3875
1.1375,0.875,0.2625,7,0.479190101
1.2875,0.9875,0.3125,8,0.482290882
0.9375,0.6875,0.225,6,0.426605505
1.45,1.0625,0.3875,10,0.414089347
0.8625,0.6375,0.2375,6,0.409836066
1.0125,0.7125,0.225,6,0.47826087
1.1125,0.8,0.3,8,0.402116402
0.7125,0.5375,0.175,6,0.474418605
0.9375,0.6875,0.2125,7,0.495454545
1.425,1.1,0.325,10,0.45270711
1.5125,1.1875,0.4375,9,0.44510978
1.6375,1.275,0.4,14,0.362637363
1.2625,0.95,0.3375,9,0.491179201
1.4,1.0875,0.3125,13,0.381196581
1.5,1.175,0.3375,11,0.479896907
0.95,0.6875,0.25,10,0.354767184
1.15,0.8625,0.2875,6,0.449584816
1.7,1.375,0.475,11,0.455174322
1.55,1.2125,0.425,15,0.397764901
1.4,1.0625,0.35,10,0.436512262
1.0875,0.8625,0.2875,7,0.531100478
1.4375,1.2,0.375,12,0.428816467
1.55,1.2,0.4125,10,0.463566635
1.45,1.15,0.45,11,0.419213974
0.925,0.6875,0.25,7,0.385620915
1.0875,0.85,0.3,8,0.448232323
1.2875,1,0.3125,8,0.465853659
1.4375,1.1,0.3625,8,0.453448276
1.275,1.0125,0.375,8,0.493248045
0.625,0.475,0.15,6,0.470588235
